노선,건수(1통행)_일반,건수(1통행)_청소년,건수(1통행)_어린이,건수(2통행)_일반,건수(2통행)_청소년,건수(2통행)_어린이,건수(3통행)_일반,건수(3통행)_청소년,건수(3통행)_어린이,교통카드건수합계
1,374134,20773,3145,116437,3744,398,18002,309,46,536988
10,1932743,212792,30583,542268,32589,2939,97437,3884,249,2855484
100,1021187,57891,8510,221911,7322,592,39959,876,116,1358364
100-1,1449231,99949,14163,358735,14252,1396,60506,1668,187,2000087
1000,518979,15831,3132,133277,3530,437,15053,345,35,690619
1001,1838932,71240,7487,525115,19725,1150,39865,1317,90,2504921
1002,1128153,56106,5165,357006,16062,880,44238,1154,61,1608825
1003,1768550,66135,11111,337763,10514,841,33661,803,64,2229442
1004,878382,25160,2684,277673,8492,583,20846,471,64,1214355
1005,139331,1999,650,44699,726,55,10329,157,15,197961
1006,150352,13290,1544,59169,3732,231,4319,334,18,232989
1008,773459,87912,7655,192946,11209,657,28632,1185,67,1103722
1009,225629,11179,1931,46675,1586,125,7643,356,10,295134
101,1966264,106497,25881,523573,17838,1853,88688,1892,196,2732682
1010,873935,63129,7792,233837,11517,786,29228,1099,101,1221424
1011,478236,35765,3500,229662,11974,836,12190,482,53,772698
103,2068803,192629,32271,552697,26767,2768,99066,2318,253,2977572
105,501448,21590,3038,181783,7859,495,28044,626,69,744952
107,1187364,131216,26232,331259,23449,1536,50866,1855,150,1753927
108,1713793,118109,26206,503209,20305,1962,70447,1647,206,2455884
11,1865426,163847,29672,454460,22068,2504,72724,1695,185,2612581
110,1367434,56602,12872,327594,10194,796,49821,837,75,1826225
110-1,2959918,184613,26297,980338,41512,2637,132645,3133,278,4331371
111,2302006,170657,28597,488779,20238,2167,76694,2113,166,3091417
111-1,1039697,82532,11172,323805,14350,1208,47791,1945,112,1522612
113,3651867,265356,53921,953294,39144,5267,150251,3106,342,5122548
115,345540,27267,6440,103535,5031,410,22595,508,40,511366
115-1,3261914,321478,53529,698712,31729,2768,104115,3033,295,4477573
121,551514,39588,6905,112467,4173,442,19086,500,50,734725
123,1387413,62751,8153,399379,11749,1029,50997,1108,90,1922669
124,645654,29299,4788,180877,5239,612,29954,464,58,896945
125,138761,6681,3116,65184,2301,349,9810,363,14,226579
126,3853988,296383,41996,1386961,61030,4580,152936,4067,305,5802246
127,842032,50029,7304,219196,6269,528,40872,850,99,1167179
128-1,2000398,162720,17158,548767,18973,1557,123879,3614,276,2877342
129-1,2177480,126230,14563,639731,22233,1651,86097,1715,168,3069868
131,1507102,142074,25463,335389,14258,1370,56467,1502,140,2083765
133,2963175,173568,37422,800175,31038,3714,133215,3293,330,4145930
134,1551442,73680,17237,469377,19314,3629,89897,1659,294,2226529
138,2157560,149160,28106,566556,23406,2114,94497,2033,239,3023671
138-1,1277732,74119,13678,307244,11701,1217,51883,1232,117,1738923
139,393490,28149,6089,69535,2543,415,24416,798,132,525567
141,2211066,119998,16017,580800,20741,1606,81095,1783,203,3033309
144,1143472,72367,11332,315726,11546,1351,46002,1107,139,1603042
148,2784989,112899,22747,762671,18358,2115,101664,1491,146,3807080
148-1,952792,60556,13550,215228,7557,737,38427,881,109,1289837
15,4629059,334418,54404,1248799,47625,4176,168077,4573,344,6491475
155,3854545,333998,45492,1111541,58819,4002,199714,5833,498,5614442
16,3465496,418294,82973,944178,57675,5559,147137,5549,393,5127254
160,1942153,143939,15952,573543,36159,1832,85958,3054,190,2802780
161,2139913,212910,32492,707507,34498,2724,100509,3191,263,3234007
167,1733379,97052,14572,588869,18822,2109,94855,1708,218,2551584
168,1596330,114472,18098,449499,18071,1752,75748,2410,188,2276568
169,3387879,309711,57736,960136,48799,4770,156628,7169,472,4933300
169-1,2661384,334014,43760,675747,35346,2826,107514,3440,289,3864320
17,3004820,181411,38684,801211,40045,3483,127487,4234,357,4201732
179,3206715,236034,35995,847502,36079,3299,129573,3511,244,4498952
180,117442,5256,845,20066,842,132,10022,519,32,155156
181,1020144,97114,21072,198320,8757,973,58964,1892,185,1407421
182,481997,61178,8201,92337,4093,338,20587,734,81,669546
183,985933,61801,8014,300809,13364,1034,45554,1407,102,1418018
184,76067,6859,1586,19138,353,37,5100,121,15,109276
185,110394,5478,1327,33615,782,174,9953,229,51,162003
186,977450,47705,14115,252246,11244,1343,48373,854,126,1353456
187,94857,5967,865,28182,1106,106,8522,201,18,139824
188,366184,49238,7400,77678,3017,325,21887,1071,70,526870
189,1966349,173229,20999,594961,31787,2373,97333,3421,259,2890711
189-1,1425080,73566,15921,453973,19238,1833,87358,3312,211,2080492
190,1123748,92286,18963,360866,19697,1700,85078,2245,206,1704789
2,1934130,211538,37196,534103,28967,2794,92527,2925,223,2844403
20,2767228,218763,25863,744759,32863,2897,102697,2927,296,3898293
200,2213733,132431,22495,744853,28069,2421,103389,2547,267,3250205
210,1392037,114175,19767,476513,24393,2367,84950,3048,235,2117485
22,1257136,132565,17938,317831,18924,1339,63414,2470,193,1811810
221,68459,2909,494,28227,1274,92,4654,130,13,106252
23,2745394,173470,31684,826529,36959,2941,123775,3525,267,3944544
24,2963218,251418,36703,580990,27739,2635,104376,3190,294,3970563
26,1503868,46254,14004,445282,11092,1222,72102,934,131,2094889
27,2466137,143522,20127,688418,25479,1930,104465,2459,267,3452804
29,2611219,233808,36438,656188,27642,2749,115392,2775,274,3686485
3,1227820,136061,23529,330528,22681,2035,61375,3156,217,1807402
30,2306610,74965,24412,591254,13352,2102,117673,1545,271,3132184
300,392930,23907,3944,138252,5812,328,17783,773,34,583763
301,106304,29234,2543,26482,2891,92,5863,602,10,174021
302,167103,26457,3354,24151,1362,183,4544,96,16,227266
307,795674,43867,7578,224290,6874,580,33451,754,74,1113142
31,4153917,208225,29419,1334874,44091,4175,150808,3236,337,5929082
33,4644982,214974,43632,1346028,42667,4305,181466,3636,326,6482016
338,2441484,155391,29492,693359,31793,3045,100205,3665,287,3458721
36,797268,50855,8690,253906,9966,879,46942,1546,100,1170152
37,538564,63700,9065,147251,6384,597,38788,1122,193,805664
38,659746,57629,11338,139239,5737,644,33065,782,86,908266
39,2002714,146379,20127,466846,17425,1444,74630,1957,176,2731698
40,2066444,147849,21492,545601,27540,1858,85949,3025,198,2899956
41,2471961,133392,19605,734364,25270,2058,80291,1797,149,3468887
42,2116630,111769,14432,553774,21508,1799,80050,1885,186,2902033
43,2292099,121167,23747,735531,30694,2432,124092,3297,303,3333362
44,2698672,227967,40286,791351,34258,3986,132160,3412,269,3932361
46,806257,68190,13248,278590,17019,1140,44459,1497,100,1230500
49,2474571,245472,35633,641108,26843,2327,102384,2436,330,3531104
5-1,1641839,87935,14535,423322,13035,1140,69646,1456,128,2253036
50,1289022,96239,14879,340554,15527,1179,62856,1488,141,1821885
506,393808,25638,4290,115680,5803,439,22224,823,43,568748
508,1276701,106825,17723,457317,31232,1841,91302,5366,261,1988568
51,3741677,306747,51902,893721,39311,4010,120830,3324,295,5161817
52,2680717,146257,21554,749446,32028,2033,124514,4192,204,3760945
520,139163,11969,883,43823,2617,128,9702,423,16,208724
54,2930431,170966,36568,1013347,42180,3851,182602,4303,526,4384774
55,213116,10005,1498,50433,1998,208,11489,321,29,289097
555,20453,613,35,8729,74,1,3872,118,1,33896
57,2287441,137956,24084,506184,15452,1764,96006,1731,240,3070858
58,121696,3717,603,43430,1350,49,12698,252,16,183811
58-1,288817,12212,1389,78050,3733,163,16470,752,27,401613
58-2,1451256,132176,24657,435906,27089,2411,91138,3751,312,2168696
583,337614,22998,8433,54125,1190,134,11254,215,23,435986
59,1364842,67988,12881,412081,12204,1123,65722,1260,112,1938213
6,2056147,124466,21803,554413,25521,1893,108396,4339,225,2897203
61,2096185,95748,19671,702045,23459,2083,83741,1989,182,3025103
62,2266017,122250,16415,625206,22827,1945,90411,2124,193,3147388
63,2372033,221910,32747,554961,24474,2444,95671,2642,233,3307115
66,524387,23576,5418,174694,5309,467,33427,605,95,767978
67,3540052,286014,48192,1066097,44675,3999,176030,4116,440,5169615
68,4340171,199510,40665,1436250,45909,4384,165428,3422,427,6236166
7,981579,72363,15644,274380,12466,821,74550,2093,157,1434053
70,731207,84675,15719,151169,8543,950,40571,1222,123,1034179
71,1096909,68270,13547,324047,14655,955,84835,2984,215,1606417
73,75229,3601,691,17507,192,36,5887,94,9,103246
77,1596669,83790,14523,468413,16535,1652,63737,1324,168,2246811
8,2594198,106523,22892,813101,22171,2898,120131,2154,246,3684314
80,2915888,281321,53534,624667,26356,2928,108113,3136,252,4016195
81,3829500,167981,46190,1155015,32193,4346,166118,2609,517,5404469
82,2125566,130291,21857,705812,40103,2326,116115,5263,286,3147619
83,1727611,85344,12256,547172,14371,1328,69736,1161,143,2459122
83-1,752472,43045,8918,185453,6201,690,30668,723,87,1028257
85,1092230,73974,12000,358165,17832,1468,63069,2513,191,1621442
86,2303762,117793,29318,514324,23605,2342,100525,2443,223,3094335
87,3810006,141461,43944,1200994,37907,4696,183363,3531,487,5426389
88(A),771708,31021,7784,211886,5463,696,41018,667,116,1070359
88-1A,1166286,24308,8769,454575,12185,1649,102374,1363,142,1771651
9,662395,45695,6122,196104,10044,520,53536,1784,62,976262
90,223321,2688,1522,94259,1051,438,35662,229,126,359296
96,2895476,248914,54586,762579,32385,3940,139109,3315,344,4140648
96-1,261380,22224,4623,58910,3156,427,11668,432,44,362864
99,3131305,106373,15611,931339,22600,2071,135087,2202,242,4346830
203(산성),353690,13552,3309,134491,5627,534,38064,897,116,550280
강서12출,73186,1899,178,30479,363,49,6156,73,5,112388
강서17정거,3635,134,31,774,20,2,176,5,0,4777
강서1정거,44,0,0,1,0,0,0,0,0,45
강서5중리2,215,10,0,73,0,0,15,1,0,314
강서7-2출,59048,2394,342,23712,488,30,3631,86,9,89740
강서구1,41507,2085,486,1735,12,0,374,5,0,46204
강서구11,39675,2428,251,14967,246,5,3155,59,3,60789
강서구12,164320,5693,1277,49418,2005,273,9797,274,35,233092
강서구13,322666,13491,1458,127266,3423,204,20983,481,33,490005
강서구14,21319,1500,102,6410,300,15,1670,79,3,31398
강서구15,121281,4065,527,50631,2014,259,10794,490,85,190146
강서구16,16352,104,13,3889,15,3,1046,4,0,21426
강서구17,25911,835,114,6376,204,17,1680,47,2,35186
강서구19,139283,10213,3186,32022,641,122,10165,102,51,195785
강서구2,22082,707,41,6512,292,18,1881,54,0,31587
강서구20,374395,24694,4005,134880,9417,618,27394,1202,68,576673
강서구21,146350,14983,2007,54928,3692,212,11783,516,31,234502
강서구3,9474,364,32,2733,65,4,1054,15,1,13742
강서구5,71819,3324,245,30874,690,42,5927,101,5,113027
강서구7,58872,1167,154,18144,227,25,4979,59,4,83631
강서구7-2,66665,2208,435,26913,523,55,4286,67,7,101159
강서구9,36833,685,200,12418,241,30,4278,48,3,54736
강서구9-1,356281,9536,1627,105540,3182,146,25779,709,19,502819
강서구9-2,78260,3974,575,27815,1566,119,6316,217,10,118852
금정3주말,1,0,0,0,0,0,0,0,0,1
금정구1,659838,48338,14940,184789,8458,746,32345,1028,122,950604
금정구2-1,141701,4359,2844,53517,2272,292,18957,240,78,224260
금정구2-1(명절),3288,130,108,1457,53,35,852,35,9,5967
금정구2-2,164477,5369,3212,52442,1915,236,13281,217,20,241169
금정구2-2(주말),11294,134,123,5990,66,51,1737,33,19,19447
금정구3,162300,13479,1770,72773,3623,238,17832,943,35,272993
금정구3-1,99923,8053,644,20845,2644,164,7594,847,25,140739
금정구5,204646,3785,1154,62527,1760,185,23518,486,34,298095
금정구5-1,15747,1104,242,11136,649,12,5556,139,1,34586
금정구6,1071704,90286,16100,353307,33309,2042,67221,6577,350,1640896
금정구7,359181,8600,698,391022,5798,421,156662,2690,115,925187
기장2상곡,20006,501,77,1556,66,5,650,12,0,22873
기장2통합,9525,509,108,649,79,3,186,9,0,11068
기장2학리,10268,547,215,805,64,3,173,7,0,12082
기장3서생,228544,15121,1574,41488,1363,89,15650,550,26,304405
기장3월내,7070,941,25,2005,115,2,726,59,1,10944
기장8-1내,17480,1926,168,3683,118,2,1394,63,1,24835
기장8-1도,1061,65,10,266,9,0,77,3,0,1491
기장8-1월내,7660,588,54,1804,53,5,682,23,3,10872
기장8정관,480968,87026,16340,60831,2568,268,21204,877,71,670153
기장9개천,2455,244,1,538,2,0,198,1,0,3439
기장9대명,7385,289,39,2076,43,0,530,10,2,10374
기장9용소,4251,410,40,879,23,7,246,4,0,5860
기장9용왕,58733,4454,491,13157,326,28,3423,88,15,80715
기장9월내,16785,642,136,4198,60,8,1244,11,3,23087
기장군1(석산),7106,454,99,496,6,2,186,5,0,8354
기장군1(우산),2,0,0,0,0,0,0,0,0,2
기장군1(우신),999,96,10,93,2,1,28,0,0,1229
기장군1(중리),2125,51,32,289,1,0,112,2,0,2612
기장군10(신명),14479,495,19,2786,85,2,674,4,0,18544
기장군11,325602,21521,3569,91198,5329,309,23515,1115,53,472211
기장군2-3,47304,627,241,12362,283,74,3107,77,13,64088
기장군2-3기장,95,1,0,24,0,0,4,0,0,124
기장군5(월평),11135,2455,690,2738,122,29,698,15,5,17887
기장군6,100084,7228,1020,13269,316,32,4978,153,16,127096
기장군7(병산),438,13,5,277,0,1,18,0,0,752
기장군7(예림),4352,497,220,608,14,2,134,3,2,5832
기장군8(정관)출,3486,719,74,344,12,0,107,4,0,4746
남구1,833867,92504,30318,277455,21701,1709,54180,2089,182,1314005
남구10,663054,91521,15633,155770,14605,904,31254,1365,113,974219
남구2,1031282,153119,19326,253436,17616,1367,54216,1571,155,1532088
남구3,545123,30979,13111,172131,7873,1054,37085,1714,71,809141
남구5,143082,4820,6458,48453,1372,685,10265,193,65,215393
남구6,685752,54019,17310,236905,15838,1087,73772,3424,211,1088318
남구8,187126,10088,3616,30387,1134,245,9151,197,25,241969
남구9,387759,37290,5768,146195,8970,946,34198,1857,76,623059
동구1,232237,5402,7374,65623,2290,534,17365,284,48,331157
동구1-1,405037,6120,5620,91736,2004,473,21949,312,75,533326
동구2,568743,21165,19872,197369,10435,1278,43766,664,118,863410
동래구1,208606,18364,4252,50691,2367,303,11675,402,34,296694
동래구1-1,26070,822,173,5562,67,4,1119,5,4,33826
동래구10,88861,12180,1789,28847,1286,179,6922,189,25,140278
동래구2,266000,49768,8937,69768,4160,464,11710,447,58,411312
동래구3,284245,21664,7168,83047,3391,423,12567,544,23,413072
동래구5,620747,53609,19667,225378,10892,1173,44039,2018,172,977695
동래구6,343169,24101,4776,93558,4517,493,17298,623,51,488586
동래구6-1,416895,55205,6308,111858,7152,684,18284,915,68,617369
동래구7,427224,57159,7966,112815,8532,570,22259,678,46,637249
동래구8,526689,48688,9236,174129,7390,1033,36802,695,129,804791
부산진구1,256963,7285,5717,86960,2636,371,16996,540,32,377500
부산진구10,385039,5470,3419,223343,3344,1059,68551,513,243,690981
부산진구10-1,423869,25908,9294,169765,7404,680,36120,1063,93,674196
부산진구11,132801,15684,4332,28793,2497,341,5714,154,13,190329
부산진구12,190335,34847,4284,39081,5745,240,8714,1190,26,284462
부산진구13,199686,4742,2517,57759,1447,227,12888,209,41,279516
부산진구15,530014,32048,15833,164193,7961,1195,66298,1594,195,819331
부산진구17,387163,35873,7584,141347,4244,1500,31704,661,96,610172
부산진구2,717137,27157,32870,238520,9820,1762,43715,924,227,1072132
부산진구6,68227,3565,214,24004,995,24,10044,402,11,107486
부산진구6-1,310547,11354,122,253003,10444,150,91303,3024,36,679983
부산진구7,89425,11777,120,47921,23266,227,20029,7831,21,200617
부산진구8,128153,26396,384,88815,35996,147,27502,7975,49,315417
부산진구9,478427,35251,8971,174028,7878,927,51330,1204,106,758122
북구1-1,742410,90520,16077,239012,19698,1649,41717,1646,178,1152907
북구2,276202,7282,4987,71690,1940,227,16021,289,13,378651
북구3,956901,87209,19884,246432,10800,854,38095,1019,89,1361283
북구6,867193,43133,15612,276642,20885,1293,42799,1486,91,1269134
북구7,462612,43872,12508,168752,10281,823,26642,1086,77,726653
북구7-2,72432,10317,1612,14489,776,69,3401,107,8,103211
북구8,148168,6174,3135,78208,3113,372,21929,567,68,261734
북구8-1,160387,6083,2374,39640,1583,155,8967,179,13,219381
북구8-2,156166,8719,5764,83122,3714,446,23258,621,77,281887
북구9,297424,39206,8667,163424,9115,977,35901,2118,143,556975
사상구1-1,334777,31890,33978,93417,5438,1066,24890,772,79,526307
사상구2,209680,17552,6056,176009,8422,795,46313,1226,93,466146
사상구2-1,116618,6488,3105,84152,4098,480,19439,443,63,234886
사상구3,333588,24810,8514,198131,18349,1620,45251,2073,178,632514
사상구3-1,79094,7282,1923,47289,4725,382,11179,400,32,152306
사상구5,35672,1978,153,41509,5618,306,17386,526,8,103156
사상구5-1,64902,2358,151,73278,4870,149,28886,1143,7,175744
사상구5-2,59975,1597,70,111190,4278,54,45992,2434,11,225601
사상구6,1604815,116685,26581,427099,25319,2320,89951,2481,264,2295515
사상구7,441033,9936,4980,129783,2469,930,37092,500,77,626800
사상구8,155507,12330,4857,30744,2139,322,8339,205,54,214497
사상구8-1,85187,4533,2605,27817,874,268,8348,222,31,129885
사하구1,375599,35078,11519,113854,5174,1061,24602,735,88,567710
사하구1-1,526106,33215,10762,135864,5515,998,29227,756,106,742549
사하구10,130930,3017,58,90442,1623,22,36149,681,2,262924
사하구14,593739,36127,17926,228105,12727,2178,66602,1812,141,959357
사하구15,712311,87106,16628,202332,12064,1303,49386,1900,156,1083186
사하구2,316086,38311,19557,97274,6305,750,24931,735,61,504010
사하구2-1,319671,45813,32278,176441,18148,1793,35838,2242,143,632367
사하구2-2,9446,599,365,6554,382,81,1582,52,7,19068
사하구3,196694,9439,9237,84534,8936,1124,25251,2077,82,337374
사하구3-1,54131,1320,461,18184,398,78,8100,67,3,82742
사하구5,346332,20520,5362,93830,3883,466,19887,515,51,490846
사하구6,361625,18244,17740,88742,5787,1019,22976,683,91,516907
사하구8,529066,37223,10541,150845,7952,1173,35427,856,73,773156
사하구9,278440,21137,11719,131828,22584,2933,33683,2613,154,505091
서2-2출퇴,244356,6507,4185,63240,2165,342,14066,248,42,335151
서구1,333153,16601,11175,104235,4339,908,28173,801,157,499542
서구2,317952,14667,6027,105118,5305,924,19851,572,80,470496
서구2-2,62012,1565,1355,15666,429,60,3636,47,7,84777
서구3,77433,6129,2370,27028,1189,167,5795,59,19,120189
서구3-1,162504,12047,4859,48703,2697,443,9836,162,39,241290
서구5,237271,4609,1571,79966,5532,436,26599,936,86,357006
수영구2,940959,98797,42424,254506,18429,2419,51991,1580,200,1411305
연제구1,143425,4938,3907,45084,1794,339,8877,158,23,208545
연제구2,319412,18149,14604,95485,4412,770,21024,414,84,474354
연제구3,240515,31979,8175,123401,18851,904,23193,3776,50,450844
연제구6,100561,9968,3495,38206,7252,261,10391,2817,18,172969
연제구7,378233,24790,5509,117701,5021,954,26060,504,89,558861
영도구1,177746,8902,8094,37968,1033,232,15162,224,28,249389
영도구2,182950,4496,2786,31565,553,243,11819,83,22,234517
영도구5,916683,101709,24709,202157,9552,1307,62718,1202,159,1320196
영도구7,70146,2219,6304,26133,422,71,11079,83,14,116471
중구1,627194,42669,17980,187138,10270,949,49361,1087,112,936760
하버트란스,3719,64,38,973,1,1,243,0,0,5039
해운대10,141543,3772,1548,37287,1017,97,9805,172,9,195250
해운대2,439863,12609,4973,112031,2958,284,28632,713,40,602103
해운대3B코,215,14,2,75,1,0,19,2,0,328
해운대구3,214161,8462,5452,68406,3156,334,22256,529,50,322806
해운대구3-1,426149,33365,13875,141539,9040,541,38365,819,39,663732
해운대구3-2,162428,21642,4895,52784,2564,221,13884,131,9,258558
해운대구7,106950,8307,2011,25840,918,119,5227,210,9,149591
해운대구8,43759,1321,438,11955,315,35,3687,62,15,61587
해운대구9,78807,2904,723,17903,394,66,4482,117,19,105415
